Bandit,Reward,Algorithm
924,1,ThompsonSampling
925,1,ThompsonSampling
926,1,ThompsonSampling
927,1,ThompsonSampling
928,1,ThompsonSampling
929,1,ThompsonSampling
930,1,ThompsonSampling
931,1,ThompsonSampling
932,1,ThompsonSampling
933,1,ThompsonSampling
934,1,ThompsonSampling
935,1,ThompsonSampling
936,1,ThompsonSampling
937,1,ThompsonSampling
938,1,ThompsonSampling
939,1,ThompsonSampling
940,1,ThompsonSampling
941,1,ThompsonSampling
942,1,ThompsonSampling
943,1,ThompsonSampling
944,1,ThompsonSampling
945,1,ThompsonSampling
946,1,ThompsonSampling
947,1,ThompsonSampling
948,1,ThompsonSampling
949,1,ThompsonSampling
950,1,ThompsonSampling
951,1,ThompsonSampling
952,1,ThompsonSampling
953,1,ThompsonSampling
954,1,ThompsonSampling
955,1,ThompsonSampling
956,1,ThompsonSampling
957,1,ThompsonSampling
958,1,ThompsonSampling
959,1,ThompsonSampling
960,1,ThompsonSampling
961,1,ThompsonSampling
962,1,ThompsonSampling
963,1,ThompsonSampling
964,1,ThompsonSampling
965,1,ThompsonSampling
966,1,ThompsonSampling
967,1,ThompsonSampling
968,1,ThompsonSampling
969,1,ThompsonSampling
970,1,ThompsonSampling
971,1,ThompsonSampling
972,1,ThompsonSampling
973,1,ThompsonSampling
974,1,ThompsonSampling
975,1,ThompsonSampling
976,1,ThompsonSampling
977,1,ThompsonSampling
978,1,ThompsonSampling
979,1,ThompsonSampling
980,1,ThompsonSampling
981,1,ThompsonSampling
982,1,ThompsonSampling
983,1,ThompsonSampling
984,1,ThompsonSampling
985,1,ThompsonSampling
986,1,ThompsonSampling
987,1,ThompsonSampling
988,1,ThompsonSampling
989,1,ThompsonSampling
990,1,ThompsonSampling
991,1,ThompsonSampling
992,1,ThompsonSampling
993,1,ThompsonSampling
994,1,ThompsonSampling
995,1,ThompsonSampling
996,1,ThompsonSampling
997,1,ThompsonSampling
998,1,ThompsonSampling
999,1,ThompsonSampling
1000,1,ThompsonSampling
1001,1,ThompsonSampling
1002,1,ThompsonSampling
1003,1,ThompsonSampling
1004,1,ThompsonSampling
1005,1,ThompsonSampling
1006,1,ThompsonSampling
1007,1,ThompsonSampling
1008,1,ThompsonSampling
1009,1,ThompsonSampling
1010,1,ThompsonSampling
1011,1,ThompsonSampling
1012,1,ThompsonSampling
1013,1,ThompsonSampling
1014,1,ThompsonSampling
1015,1,ThompsonSampling
1016,1,ThompsonSampling
1017,1,ThompsonSampling
1018,1,ThompsonSampling
1019,1,ThompsonSampling
1020,1,ThompsonSampling
1021,1,ThompsonSampling
1022,1,ThompsonSampling
1023,1,ThompsonSampling
1024,1,ThompsonSampling
1025,1,ThompsonSampling
1026,1,ThompsonSampling
1027,1,ThompsonSampling
1028,1,ThompsonSampling
1029,1,ThompsonSampling
1030,1,ThompsonSampling
1031,1,ThompsonSampling
1032,1,ThompsonSampling
1033,1,ThompsonSampling
1034,1,ThompsonSampling
1035,1,ThompsonSampling
1036,1,ThompsonSampling
1037,1,ThompsonSampling
1038,1,ThompsonSampling
1039,1,ThompsonSampling
1040,1,ThompsonSampling
1041,1,ThompsonSampling
1042,1,ThompsonSampling
1043,1,ThompsonSampling
1044,1,ThompsonSampling
1045,1,ThompsonSampling
1046,1,ThompsonSampling
1047,1,ThompsonSampling
1048,1,ThompsonSampling
1049,1,ThompsonSampling
1050,1,ThompsonSampling
1051,1,ThompsonSampling
1052,1,ThompsonSampling
1053,1,ThompsonSampling
1054,1,ThompsonSampling
1055,1,ThompsonSampling
1056,1,ThompsonSampling
1057,1,ThompsonSampling
1058,1,ThompsonSampling
1059,1,ThompsonSampling
1060,1,ThompsonSampling
1061,1,ThompsonSampling
1062,1,ThompsonSampling
1063,1,ThompsonSampling
1064,1,ThompsonSampling
1065,1,ThompsonSampling
